gen_total_loss,gen_gan_loss,gen_l1_loss,disc_loss
36.408615,5.2941785,31.114435,0.0108893905
32.646,5.6858087,26.96019,0.013338815
29.278326,5.079865,24.198462,0.02471703
26.644392,4.0986495,22.545742,0.03763182
25.10591,3.7954223,21.310488,0.041662052
24.20628,3.6897502,20.51653,0.049899936
23.606533,3.8718634,19.73467,0.057431035
22.48952,3.1087623,19.380756,0.08686488
21.45262,2.8417876,18.610832,0.121610835
20.736376,2.5363717,18.200005,0.159163
19.99915,2.22248,17.776669,0.20390928
19.358997,1.975815,17.383183,0.25021067
18.709494,1.7324481,16.977045,0.29917404
18.313189,1.6471151,16.666073,0.33637246
17.79864,1.4278494,16.37079,0.411441
17.328579,1.3291826,15.999397,0.46902543
17.157778,1.2614964,15.896282,0.49513888
16.867313,1.1312208,15.736092,0.5665578
16.729813,1.1152244,15.614588,0.6014773
16.606815,1.0909952,15.51582,0.6231161
16.664396,1.0965743,15.5678215,0.6459366
16.577505,1.1224936,15.455011,0.6336018
16.617931,1.1557217,15.46221,0.63132715
16.692875,1.2184069,15.474467,0.68499756
16.480923,1.1448793,15.336044,0.7165694
16.237326,1.0598505,15.177475,0.7650671
16.11595,1.0104638,15.105485,0.818524
15.951282,0.9149886,15.036293,0.91372454
15.774817,0.7579597,15.016858,0.9987636
15.734205,0.76146084,14.972744,1.0394993
15.604381,0.75781083,14.84657,1.0700228
15.930725,0.8056855,15.125039,1.0803511
15.376171,0.69852227,14.677649,1.1455749
15.189642,0.64827967,14.541362,1.2345552
15.476073,0.70464617,14.771427,1.1429884
15.696612,0.78806585,14.908546,1.2428343
15.459994,0.68026096,14.779734,1.3056114
15.511403,0.64103687,14.870366,1.3609254
15.248917,0.6594723,14.589444,1.3664616
15.522343,0.73108864,14.791254,1.3192124
14.946301,0.62154543,14.324756,1.4420834
15.108097,0.5893972,14.5187,1.4449354
14.745913,0.4855853,14.260327,1.5637081
14.992807,0.45716816,14.535639,1.6084888
14.902307,0.51642936,14.385878,1.661022
14.594088,0.5506506,14.043437,1.492488
14.746938,0.5720998,14.174838,1.5798903
14.418082,0.54585516,13.872227,1.6018887
14.254059,0.45444396,13.799615,1.5969833
14.358135,0.6178771,13.740258,1.5231247
14.316718,0.5295937,13.787125,1.5645
14.368803,0.6599022,13.7089,1.56612
13.856629,0.51483,13.3418,1.6518297
14.244303,0.57944536,13.664857,1.5769165
14.100598,0.8698916,13.230707,1.3870127
14.113796,0.7294194,13.384377,1.5716133
13.977817,0.58678603,13.39103,1.5615779
13.739163,0.5501955,13.188968,1.6571589
13.629653,0.8355407,12.794112,1.4298158
13.59727,0.5161221,13.081148,1.6534078
13.543518,0.77807003,12.765448,1.4562117
13.479784,0.72158533,12.758199,1.5325676
13.967982,0.6340024,13.33398,1.4712727
13.559323,0.8507102,12.708613,1.3816755
13.167436,0.6910398,12.476396,1.4574075
13.361432,0.6501602,12.711272,1.5135269
13.025643,0.59814847,12.427495,1.550496
13.114975,0.67317414,12.441801,1.4380145
12.993852,0.67003953,12.3238125,1.4918053
12.75941,0.7365201,12.02289,1.4036539
12.648848,0.66980016,11.979048,1.4451587
12.744302,0.7109148,12.033387,1.3335735
12.483378,0.70706344,11.776315,1.3747599
12.835345,1.0196213,11.815724,1.3461474
