epoch,loss,lr,output_layer_1_csi133,output_layer_1_csi74,output_layer_1_loss,output_layer_1_pod133,output_layer_1_pod74,output_layer_1_sucr133,output_layer_1_sucr74,output_layer_csi133,output_layer_csi74,output_layer_loss,output_layer_pod133,output_layer_pod74,output_layer_sucr133,output_layer_sucr74,val_loss,val_output_layer_1_csi133,val_output_layer_1_csi74,val_output_layer_1_loss,val_output_layer_1_pod133,val_output_layer_1_pod74,val_output_layer_1_sucr133,val_output_layer_1_sucr74,val_output_layer_csi133,val_output_layer_csi74,val_output_layer_loss,val_output_layer_pod133,val_output_layer_pod74,val_output_layer_sucr133,val_output_layer_sucr74
0,2.439934092362722,0.00056250003,5.3579406e-06,5.7640507e-05,1.7402115,5.358116e-06,5.7643396e-05,0.9812087,0.89275503,5.3579406e-06,5.7640507e-05,0.69972277,5.358116e-06,5.7643396e-05,0.9812087,0.89275503,4.706984681288401,5.501214e-12,1.6340015e-12,3.6768274,5.501214e-12,1.6340015e-12,1.0,1.0,5.501214e-12,1.6340015e-12,1.0301571,5.501214e-12,1.6340015e-12,1.0,1.0
1,2.0597819038232164,0.001,1.2232255e-05,0.00024745634,1.4541044,1.2233293e-05,0.00024746882,0.9783099,0.886299,1.2232255e-05,0.00024745634,0.60567755,1.2233293e-05,0.00024746882,0.9783099,0.886299,4.548936135371526,4.7252342e-06,6.589841e-05,3.5180826,4.7252547e-06,6.589872e-05,0.99881446,0.98239124,4.7252342e-06,6.589841e-05,1.0308533,4.7252547e-06,6.589872e-05,0.99881446,0.98239124
2,1.9483410652478537,0.001,3.453156e-05,0.000874305,1.4052008,3.4532597e-05,0.0008744227,0.9691057,0.8942373,3.453156e-05,0.000874305,0.5431403,3.4532597e-05,0.0008744227,0.9691057,0.8942373,3.9074880480766296,8.590127e-06,0.0010033266,2.9758615,8.590414e-06,0.0010033499,0.99481463,0.97635776,8.590127e-06,0.0010033266,0.93162614,8.590414e-06,0.0010033499,0.99481463,0.97635776
3,1.8586482538779578,0.001,6.2493564e-05,0.0026026235,1.3696873,6.249493e-05,0.0026033903,0.9499868,0.9171126,6.2493564e-05,0.0026026235,0.48896086,6.249493e-05,0.0026033903,0.9499868,0.9171126,3.541060732603073,0.0014329692,0.022875618,2.7568398,0.0014330549,0.022886638,0.9640621,0.9791715,0.0014329692,0.022875618,0.78422105,0.0014330549,0.022886638,0.9640621,0.9791715
4,1.7815112249056497,0.001,0.00012937686,0.007562508,1.3477235,0.00012939273,0.0075689848,0.8867163,0.926095,0.00012937686,0.007562508,0.43378764,0.00012939273,0.0075689848,0.8867163,0.926095,3.1459626217683154,0.06854286,0.15880889,2.6381958,0.0693133,0.16165203,0.86566424,0.90167594,0.06854286,0.15880889,0.5077665,0.0693133,0.16165203,0.86566424,0.90167594
5,1.7262278662125268,0.001,0.00055582065,0.021577986,1.3448168,0.00055625534,0.021629436,0.8525761,0.93079853,0.00055582065,0.021577986,0.38141102,0.00055625534,0.021629436,0.8525761,0.93079853,2.8747891541322073,0.058623157,0.3082543,2.485764,0.05921484,0.32277897,0.86002326,0.8731728,0.058623157,0.3082543,0.38902506,0.05921484,0.32277897,0.86002326,0.8731728
6,1.6906490286191305,0.001,0.001520008,0.056138918,1.3516412,0.001520924,0.05657714,0.8611855,0.91644764,0.001520008,0.056138918,0.3390079,0.001520924,0.05657714,0.8611855,0.91644764,3.1966362694899244,0.27139032,0.502974,2.8305733,0.44673342,0.6769619,0.4144002,0.66238236,0.27139032,0.502974,0.366063,0.44673342,0.6769619,0.4144002,0.66238236
7,1.6353547834356625,0.001,0.0054159965,0.115061454,1.3349526,0.0054291505,0.117809,0.86979973,0.88621867,0.0054159965,0.115061454,0.30040216,0.0054291505,0.117809,0.86979973,0.88621867,2.929713432391485,0.25668636,0.4904589,2.5825078,0.3879414,0.6538838,0.44191742,0.6630994,0.25668636,0.4904589,0.34720576,0.3879414,0.6538838,0.44191742,0.6630994
8,1.6051847422122956,0.001,0.012651598,0.18461592,1.3313711,0.012715254,0.19330785,0.8828676,0.8447256,0.012651598,0.18461592,0.2738136,0.012715254,0.19330785,0.8828676,0.8447256,2.887098817030589,0.2866214,0.4993661,2.587438,0.38489717,0.6239769,0.5347886,0.71413225,0.2866214,0.4993661,0.29966062,0.38489717,0.6239769,0.5347886,0.71413225
9,1.5669090100129446,0.001,0.023143223,0.24685735,1.312713,0.023408826,0.2651317,0.8563362,0.81401956,0.023143223,0.24685735,0.25419617,0.023408826,0.2651317,0.8563362,0.81401956,2.8415399563312533,0.16378683,0.39142743,2.4883676,0.17402989,0.4202547,0.74652684,0.8508587,0.16378683,0.39142743,0.35317212,0.17402989,0.4202547,0.74652684,0.8508587
