epoch,csi133,csi74,loss,lr,pod133,pod74,sucr133,sucr74,val_csi133,val_csi74,val_loss,val_pod133,val_pod74,val_sucr133,val_sucr74
0,2.241968e-06,1.2856608e-05,0.6506239634255568,0.00056250003,2.241968e-06,1.285674e-05,1.0,0.9852725,5.486909e-12,2.113204e-06,1.0263832891980809,5.486909e-12,2.113204e-06,1.0,0.99833333
1,1.9046084e-07,8.837661e-06,0.6000392731030783,0.001,1.9046563e-07,8.837748e-06,0.9986905,0.9977932,5.4934494e-12,3.7372377e-08,1.0124541083971659,5.4934494e-12,3.7372377e-08,1.0,1.0
2,1.2281582e-11,3.9051574e-05,0.5429429539044699,0.001,1.2281582e-11,3.9052204e-05,1.0,0.9928665,3.4618854e-05,0.0006892119,0.9683065328995386,3.4620047e-05,0.000689241,0.99440545,0.9706905
3,9.9093995e-06,0.00018204289,0.507728588283062,0.001,9.910133e-06,0.00018204762,0.99940896,0.9880418,0.012037701,0.046545185,0.6759231068193913,0.012051042,0.046638597,0.93439853,0.9606334
4,5.2973326e-05,0.0012601174,0.4571660918494066,0.001,5.29772e-05,0.0012601909,0.99689424,0.9866482,0.0003324495,0.04266367,0.5895612507065138,0.0003325441,0.04272426,0.94651985,0.96828735
5,0.00036446715,0.006704871,0.406047879755497,0.001,0.00036457693,0.00670675,0.9836761,0.9791178,0.0022109526,0.15045556,0.4777048702538014,0.0022114327,0.15170488,0.953897,0.9507202
6,0.0008630211,0.024300184,0.3670164119700591,0.001,0.00086341717,0.02434328,0.96854806,0.96826243,0.040343523,0.4174971,0.35351566575467586,0.041020393,0.4775175,0.77061677,0.76983804
7,0.004568979,0.06681215,0.3173712501923243,0.001,0.004575545,0.067381434,0.9512475,0.9404568,0.13069901,0.4660684,0.3181921557833751,0.14174542,0.5442547,0.6890907,0.7652176
8,0.012017424,0.13349634,0.2871301941076914,0.001,0.01206398,0.13634202,0.93330544,0.9105221,0.28952116,0.5288792,0.30745992138981815,0.39988095,0.73001504,0.5200722,0.65744996
9,0.032694966,0.2157161,0.25346256280938784,0.001,0.033103257,0.2264023,0.88924134,0.85816467,0.31377444,0.5302474,0.31322195584575335,0.51814055,0.7115416,0.4478401,0.6753993
10,0.053471513,0.28008652,0.23877813965082167,0.001,0.054682627,0.30058092,0.8603709,0.8321893,0.33736032,0.53956485,0.31205967443684735,0.5616548,0.7631295,0.46030584,0.64802265
11,0.07806665,0.31743336,0.2297831792384386,0.001,0.08156589,0.34976763,0.81978256,0.8025125,0.2857703,0.5345999,0.26321329601109034,0.32657292,0.69092375,0.69931114,0.7025823
12,0.09384299,0.35251567,0.22029224860171476,0.001,0.099676274,0.39691105,0.7806535,0.7789541,0.35601276,0.54439247,0.27918235850830875,0.50982904,0.7411435,0.5450244,0.6721076
13,0.12105886,0.37273645,0.21228575188666582,0.001,0.13383067,0.43123266,0.7334766,0.7548641,0.3543984,0.54791355,0.2774901837607225,0.56317884,0.71283394,0.4916475,0.7028072
14,0.12830651,0.38663843,0.21298486046493054,0.001,0.14186785,0.44759986,0.731144,0.7587278,0.3329015,0.5335883,0.2891865041355292,0.49501693,0.7462323,0.5077614,0.651911
15,0.14133972,0.40319204,0.20684365443885327,0.001,0.16017443,0.47283772,0.70756954,0.7501408,0.3195218,0.53128624,0.24931388368209204,0.39285338,0.6488657,0.6354624,0.7457613
16,0.14273763,0.40975428,0.20494046246012051,0.001,0.1628731,0.48279184,0.70040274,0.7471491,0.35561574,0.554575,0.2736438968280951,0.5428791,0.75090957,0.5118735,0.6796029
17,0.14955217,0.4209383,0.1978764469921589,0.001,0.17094742,0.49580294,0.7017658,0.7514242,0.34420562,0.5362493,0.25434811785817146,0.45322794,0.6664609,0.5923749,0.7329984
18,0.14862987,0.42293903,0.19781565385560196,0.001,0.1706159,0.49961615,0.69863576,0.75064284,0.3371259,0.5385493,0.2440364339699348,0.4219161,0.66408515,0.62954485,0.74054253
19,0.14941904,0.43199706,0.1939887069414059,0.001,0.16787565,0.5067897,0.70528364,0.7556386,0.34623188,0.5619514,0.24611698756615322,0.45343247,0.74077964,0.5983516,0.6991974
20,0.15089819,0.4345389,0.19183703233798344,0.001,0.17121235,0.51167655,0.70486265,0.7541803,0.3456099,0.5528302,0.2455529908835888,0.4536973,0.6930551,0.59752035,0.7319782
21,0.15564427,0.4355826,0.19083828347424667,0.001,0.17266473,0.51229864,0.70014334,0.7533133,0.34132078,0.55190283,0.24255468005935354,0.4291105,0.7055856,0.62896156,0.7169378
22,0.15256046,0.4430835,0.18721050031483172,0.001,0.16867253,0.5179198,0.7044917,0.76079595,0.3306588,0.5510913,0.23383474620680014,0.41528434,0.68077505,0.62561774,0.7427684
23,0.16162997,0.4510253,0.1845096753910184,0.001,0.18047497,0.5298518,0.69813347,0.75843406,0.34558454,0.5618114,0.24687574073672292,0.4337628,0.74098,0.63274276,0.69908834
24,0.15794009,0.44735652,0.1841714096690218,0.001,0.17494345,0.525042,0.69859093,0.7586031,0.31941235,0.55879164,0.23713537019987901,0.3798843,0.71174526,0.6727977,0.7219812
25,0.1626386,0.4594863,0.1812835667654872,0.001,0.1816102,0.5393366,0.6907908,0.7629256,0.29697704,0.5380977,0.23422623202204704,0.33472908,0.656545,0.7284225,0.74908453
26,0.17417495,0.4640156,0.1753046825279792,0.001,0.19409889,0.54495573,0.6993418,0.76124924,0.29038006,0.54560006,0.22786905931929746,0.32912505,0.65653753,0.7173704,0.763606
27,0.16959038,0.47232348,0.17681618309269348,0.001,0.18902007,0.5553869,0.6957506,0.76498616,0.34941775,0.5522542,0.2354208550105492,0.44209585,0.69511443,0.62813294,0.7288058
28,0.17323408,0.47532433,0.17387849759310484,0.001,0.19240509,0.55669415,0.6941175,0.7697419,0.33880973,0.5637222,0.2431632879624764,0.41815782,0.7418959,0.644479,0.7009961
29,0.17903814,0.47545683,0.17404276416947445,0.001,0.20178798,0.56220543,0.6882646,0.76180786,0.2325777,0.4978826,0.24028034761548042,0.24624535,0.55493164,0.8115225,0.8293663
30,0.18150923,0.48375434,0.16988371713707845,0.001,0.20321333,0.56967884,0.68901145,0.7667495,0.27498093,0.5052005,0.23976323316494624,0.30154514,0.5763814,0.7607156,0.8043147
31,0.17614943,0.4831679,0.16966448921710253,0.001,0.19776222,0.56863284,0.69169897,0.76781774,0.26543954,0.50035155,0.24327576527992884,0.28924793,0.57543397,0.7674104,0.79357654
32,0.1832347,0.49036458,0.1661129269997279,0.001,0.20484313,0.5770597,0.6915791,0.7697981,0.3032639,0.5493944,0.2248845117042462,0.33992797,0.65630937,0.74014413,0.7712145
33,0.18943366,0.49731192,0.16100695158044498,0.001,0.21228074,0.5852022,0.69127524,0.7713553,0.3347672,0.55650926,0.22454382369915643,0.40409756,0.67619073,0.66472554,0.75842184
34,0.1949998,0.5014495,0.15981531494607526,0.001,0.22124939,0.58921766,0.68173885,0.77401334,0.3307688,0.5299361,0.23174622456232707,0.39223766,0.6137768,0.68203676,0.79508674
35,0.20198223,0.5098622,0.1558731893946727,0.001,0.22831616,0.5984454,0.68918484,0.7792913,0.30410206,0.5557492,0.22320805840194224,0.34607702,0.6693344,0.7180357,0.7658259
36,0.20223221,0.5131923,0.15363584810247022,0.001,0.22771503,0.60193074,0.6937416,0.7797263,0.32832405,0.5385251,0.22673803110917407,0.3928789,0.63315284,0.67149794,0.7824972
37,0.20170137,0.5191083,0.15441889058798552,0.001,0.22783436,0.60888875,0.68587446,0.78203654,0.34094676,0.558756,0.2238438346485297,0.40983987,0.68250024,0.6720915,0.754799
38,0.20729451,0.5202362,0.151256757962207,0.001,0.23472197,0.6120918,0.6833896,0.7792212,0.3223086,0.5623864,0.22220461423198384,0.37259012,0.6847757,0.70739233,0.75870776
39,0.20672747,0.5239871,0.15070865978797277,0.001,0.2349202,0.6147548,0.69198406,0.783062,0.36353636,0.56733304,0.22883675272266069,0.4748489,0.70981604,0.6098541,0.7384198
40,0.20612767,0.53221786,0.14832165201505026,0.001,0.2322786,0.62288463,0.6936416,0.7866929,0.3560099,0.5653577,0.2324360767255227,0.4412633,0.7252115,0.64984393,0.71915996
41,0.21619022,0.5377734,0.14568202283233406,0.001,0.24487953,0.6316297,0.68801206,0.7852806,0.3198948,0.5671346,0.22213737227022648,0.3659661,0.7038228,0.71993095,0.7443303
42,0.21913113,0.53771585,0.14410190274318058,0.001,0.2476017,0.6299821,0.6912401,0.78804183,0.3476506,0.5543816,0.2263814647992452,0.42219764,0.6726255,0.66659427,0.7592635
43,0.2205785,0.54123783,0.14125777420898278,0.001,0.25125906,0.6336207,0.6872193,0.7896039,0.3304461,0.5590868,0.21899132631719112,0.391389,0.6718936,0.68561196,0.7688627
44,0.21817511,0.54334295,0.14155924345056214,0.001,0.24776983,0.63667214,0.68764275,0.7894682,0.34080005,0.55818456,0.2197023989011844,0.4083384,0.67719007,0.676612,0.7603433
45,0.22977076,0.55184835,0.13930351439863442,0.001,0.26221415,0.6441221,0.6907886,0.7955247,0.33946502,0.5602302,0.22206640596191088,0.40419924,0.68932486,0.68302035,0.7492086
46,0.2312966,0.55409825,0.13811073470860719,0.001,0.26338306,0.6493536,0.6911266,0.7924475,0.34460524,0.5639145,0.21712290696799755,0.4118017,0.67840385,0.6815872,0.7693994
47,0.23534852,0.5584487,0.13532590776681902,0.001,0.26759022,0.6511807,0.6936848,0.7974901,0.32151538,0.5574267,0.21868859586616357,0.36938164,0.6641939,0.71551496,0.7758335
48,0.23098095,0.55969256,0.13570621474335592,0.001,0.26318717,0.6544164,0.69123966,0.7962841,0.35237688,0.5661324,0.223506677399079,0.4538112,0.68983567,0.6189196,0.759309
49,0.23801196,0.56132513,0.1321990845973293,0.001,0.27293068,0.65660346,0.6868911,0.79615515,0.32293874,0.5589799,0.2204455099006494,0.37000528,0.68589723,0.7203483,0.7511744
50,0.23434292,0.56222624,0.1335313567891717,0.001,0.26780695,0.6580375,0.6854832,0.79605615,0.32410777,0.5495988,0.217011726051569,0.37606266,0.6468303,0.7050667,0.784943
51,0.24518725,0.5653804,0.13092876655360064,0.001,0.27995068,0.66041493,0.6923542,0.7983722,0.3629396,0.5711192,0.22160845903058846,0.45708218,0.7039927,0.64065677,0.75139713
52,0.24505389,0.5715185,0.12748248279094695,0.001,0.27977526,0.66864824,0.6909263,0.7990157,0.28422278,0.5608253,0.2162531074633201,0.30986512,0.66717744,0.7776172,0.7782119
53,0.2543161,0.57936513,0.1253283428524931,0.001,0.2920826,0.6761825,0.69341135,0.8026648,0.35211182,0.5610491,0.2199838870515426,0.42799723,0.6744101,0.6680515,0.7690278
54,0.25858125,0.58170605,0.12455757124970357,0.001,0.29668814,0.67771196,0.6946013,0.8050202,0.29401568,0.5425151,0.2221295149375995,0.32531905,0.6380477,0.75692844,0.7831432
55,0.25948894,0.5817697,0.1232791637132565,0.001,0.29822725,0.6787181,0.6947572,0.8040236,0.36178738,0.5742355,0.22427657616635166,0.45922685,0.73191845,0.6327177,0.7268051
56,0.2585043,0.58572125,0.12264701520403226,0.001,0.29745406,0.6822269,0.6914761,0.8060225,0.34108812,0.5694715,0.21708483216663202,0.39986882,0.7018164,0.70069575,0.75101024
